"","topic","gamma","id"
"256",2,0.99841,1987
"257",3,0.4399,1989
"258",4,0.92905,2047
"259",6,0.99866,2054
"260",6,0.99775,2058
"261",10,0.87017,2061
"262",4,0.78458,2063
"263",11,0.54679,2066
"264",12,0.8128,2069
"265",3,0.83406,2077
"266",2,0.68842,2078
"267",9,0.8162,2085
"268",11,0.99888,2090
"269",3,0.98372,2093
"270",6,0.93491,2109
"271",6,0.59529,2111
"272",11,0.53887,2117
"273",11,0.64552,2128
"274",6,0.89979,2170
"275",5,0.95152,2210
"276",3,0.51117,2225
"277",2,0.57275,2226
"278",6,0.43866,2233
"279",9,0.38228,2234
"280",12,0.59847,2235
"281",11,0.8351,2239
"282",8,0.75375,2260
"283",1,0.53161,2270
"284",4,0.39186,2282
"285",2,0.4553,2285
"286",6,0.63281,2286
"287",4,0.54096,2289
"288",7,0.99907,2299
"289",7,0.92013,2301
"290",9,0.90473,2328
"291",6,0.99816,2332
"292",8,0.87514,2339
"293",9,0.83613,2345
"294",4,0.84529,2349
"295",3,0.43942,2350
"296",8,0.99737,2357
"297",11,0.99827,2359
"298",11,0.99779,2363
"299",4,0.79189,2367
"300",12,0.99847,2381
"301",4,0.42158,2402
"302",4,0.48333,2414
"303",11,0.62432,2425
"304",6,0.99718,2437
"305",6,0.91937,2442
"306",2,0.67147,2453
"307",6,0.62023,2455
"308",8,0.52585,2456
"309",6,0.84467,2465
"310",6,0.74246,2476
"311",12,0.84241,2478
"312",11,0.80053,2494
"313",2,0.5775,2498
"314",11,0.99836,2510
"315",3,0.51676,2513
"316",4,0.7153,2520
"317",3,0.83172,2521
"318",5,0.61009,2524
"319",8,0.99833,2526
"320",4,0.70048,2528
"321",12,0.77965,2538
"322",12,0.90447,2552
"323",11,0.93476,2564
"324",1,0.60317,2565
"325",1,0.41646,2566
"326",10,0.72028,2568
"327",8,0.72864,2574
"328",12,0.88016,2577
"329",12,0.63094,2583
"330",11,0.93163,2585
"331",6,0.9955,2588
"332",6,0.80494,2594
"333",5,0.74328,2600
"334",6,0.63607,2602
"335",11,0.79512,2603
"336",8,0.99814,2606
"337",7,0.5309,2624
"338",6,0.9984,2630
"339",7,0.61456,2633
"340",2,0.46748,2655
"341",8,0.99826,2657
"342",9,0.94012,2658
"343",5,0.74578,2665
"344",3,0.99803,2672
"345",5,0.56169,2685
"346",5,0.77764,2695
"347",12,0.55422,2700
"348",3,0.99905,2703
"349",3,0.99912,2708
"350",9,0.63936,2725
"351",3,0.97343,2730
"352",3,0.61956,2731
"353",12,0.79619,2745
"354",6,0.86435,2760
"355",8,0.91823,2761
"356",5,0.56907,2778
"357",9,0.68412,2780
"358",9,0.9389,2781
"359",8,0.99728,2788
"360",11,0.57142,2797
"361",4,0.99883,2807
"362",9,0.62698,2818
"363",8,0.99804,2822
"364",7,0.59739,2828
"365",12,0.92282,2842
"366",5,0.2589,2849
"367",8,0.99807,2855
"368",12,0.7625,2877
"369",7,0.99703,2879
"370",8,0.93639,2881
"371",2,0.47372,2886
"372",2,0.42357,2891
"373",9,0.77311,2892
"374",3,0.64611,2894
"375",9,0.50894,2895
"376",6,0.60134,2916
"377",2,0.72642,2928
"378",4,0.75927,2947
"379",12,0.99629,2952
"380",6,0.99839,2969
"381",6,0.99785,2971
"382",6,0.93579,2972
"383",12,0.99923,2974
"384",1,0.99908,2980
"385",4,0.44955,2990
"386",8,0.87246,3013
"387",12,0.30823,3018
"388",12,0.89125,3022
"389",3,0.99878,3024
"390",12,0.93573,3039
"391",1,0.59101,3047
"392",4,0.85626,3052
"393",11,0.88364,3058
"394",3,0.70984,3084
"395",3,0.93741,3091
"396",11,0.85931,3097
"397",9,0.85042,3109
"398",12,0.99757,3117
"399",11,0.63176,3135
"400",5,0.99878,3136
"401",9,0.42065,3143
"402",7,0.4544,3149
"403",7,0.46355,3151
"404",9,0.97767,3152
"405",7,0.93417,3163
"406",3,0.41932,3166
"407",12,0.52953,3169
"408",9,0.97821,3177
"409",12,0.61081,3184
"410",3,0.8116,3204
"411",11,0.99871,3211
"412",9,0.8134,3221
"413",9,0.48165,3224
"414",3,0.99922,3236
"415",8,0.99569,3240
"416",9,0.70547,3241
"417",8,0.99822,3253
"418",4,0.8417,3284
"419",12,0.99661,3289
"420",7,0.58552,3290
"421",9,0.85182,3291
"422",3,0.91489,3320
"423",3,0.86871,3323
"424",3,0.8708,3325
"425",3,0.70812,3328
"426",6,0.68811,3330
"427",11,0.96852,3349
"428",4,0.62402,3364
"429",12,0.99753,3378
